STATISTIC Label,Year,Age Group,Sex,Cause of Death,UNIT,VALUE
Infant Mortality Deaths Under 1 Year,2019,Under 1 Year,Female,A00-Y89 All causes,Number,81
Infant Mortality Deaths Under 1 Year,2019,Under 30 mins,Female,A00-Y89 All causes,Number,6
Infant Mortality Deaths Under 1 Year,2019,30 mins and under 1 day,Female,A00-Y89 All causes,Number,24
Infant Mortality Deaths Under 1 Year,2019,Under 1 day,Female,A00-Y89 All causes,Number,30
Infant Mortality Deaths Under 1 Year,2019,Under 7 days,Female,A00-Y89 All causes,Number,47
Infant Mortality Deaths Under 1 Year,2019,7-13 days,Female,A00-Y89 All causes,Number,15
Infant Mortality Deaths Under 1 Year,2019,14-20 days,Female,A00-Y89 All causes,Number,1
Infant Mortality Deaths Under 1 Year,2019,21-27 days,Female,A00-Y89 All causes,Number,4
Infant Mortality Deaths Under 1 Year,2019,Under 4 weeks,Female,A00-Y89 All causes,Number,67
Infant Mortality Deaths Under 1 Year,2019,4 weeks to 1 year,Female,A00-Y89 All causes,Number,14
